id,label
0,10
1,3
2,8
3,6
4,10
5,3
6,1
7,6
8,13
9,12
10,12
11,6
12,5
13,8
14,3
15,0
16,0
17,2
18,11
19,4
20,5
21,4
22,13
23,1
24,0
25,1
26,4
27,1
28,2
29,10
30,3
31,1
32,6
33,11
34,3
35,11
36,2
37,5
38,5
39,3
40,8
41,5
42,8
43,13
44,4
45,12
46,3
47,2
48,5
49,1
50,5
51,0
52,8
53,7
54,4
55,6
56,8
57,11
58,5
59,8
60,3
61,11
62,5
63,12
64,13
65,10
66,8
67,3
68,6
69,7
70,10
71,0
72,8
73,2
74,0
75,6
76,11
77,13
78,6
79,11
80,3
81,8
82,4
83,4
84,11
85,10
86,1
87,11
88,6
89,8
90,12
91,1
92,13
93,0
94,3
95,13
96,10
97,10
98,10
99,2
100,5
101,1
102,13
103,1
104,4
105,10
106,0
107,0
108,1
109,6
110,3
111,0
112,5
113,6
114,8
115,11
116,3
117,8
118,1
119,0
120,1
121,6
122,3
123,8
124,11
125,10
126,2
127,10
128,8
129,11
130,3
131,3
132,6
133,12
134,13
135,6
136,6
137,2
138,13
139,5
140,1
141,1
142,10
143,11
144,2
145,11
146,13
147,3
148,2
149,0
150,6
151,3
152,8
153,13
154,1
155,2
156,3
157,12
158,4
159,8
160,10
161,8
162,5
163,1
164,0
165,4
166,10
167,2
168,10
169,5
170,3
171,3
172,10
173,11
174,8
175,8
176,6
177,1
178,10
179,11
180,9
181,6
182,13
183,0
184,0
185,5
186,3
187,13
188,1
189,3
190,2
191,1
192,11
193,5
194,12
195,8
196,1
197,8
198,2
199,0
200,11
201,11
202,3
203,1
204,10
205,10
206,13
207,0
208,8
209,3
210,12
211,0
212,3
213,13
214,11
215,6
216,4
217,5
218,8
219,5
220,8
221,6
222,3
223,6
224,2
225,5
226,6
227,1
228,1
229,2
230,12
231,6
232,3
233,1
234,4
235,11
236,0
237,1
238,0
239,12
240,8
241,8
242,12
243,0
244,8
245,6
246,12
247,8
248,3
249,11
250,8
251,0
252,8
253,3
254,6
255,6
256,3
257,1
258,3
259,11
260,10
261,5
262,2
263,8
264,1
265,5
266,8
267,11
268,1
269,3
270,12
271,2
272,3
273,11
274,1
275,0
276,5
277,4
278,8
279,1
280,1
281,8
282,13
283,10
284,6
285,3
286,13
287,5
288,11
289,1
290,1
291,11
292,1
293,10
294,11
295,10
296,0
297,8
298,12
299,10
300,1
301,11
302,10
303,2
304,5
305,8
306,2
307,10
308,8
309,13
310,13
311,10
312,13
313,13
314,5
315,2
316,1
317,5
318,6
319,2
320,11
321,8
322,6
323,4
324,5
325,11
326,11
327,1
328,13
329,1
330,3
331,5
332,3
333,6
334,5
335,13
336,5
337,0
338,3
339,8
340,1
341,4
342,12
343,12
344,1
345,3
346,1
347,10
348,3
349,11
350,10
351,5
352,1
353,0
354,13
355,1
356,2
357,11
358,3
359,11
360,11
361,10
362,9
363,8
364,12
365,1
366,0
367,8
368,3
369,0
370,3
371,6
372,1
373,1
374,13
375,1
376,6
377,1
378,3
379,11
380,1
381,13
382,1
383,1
384,1
385,1
386,3
387,11
388,1
389,8
390,1
391,11
392,1
393,8
394,5
395,8
396,4
397,6
398,1
399,0
400,10
401,13
402,1
403,11
404,11
405,5
406,8
407,1
408,1
409,1
410,4
411,5
412,10
413,6
414,3
415,2
416,12
417,5
418,1
419,3
420,6
421,2
422,8
423,1
424,12
425,4
426,6
427,4
428,2
429,9
430,8
431,11
432,2
433,4
434,0
435,8
436,11
437,6
438,6
439,1
440,4
441,0
442,10
443,1
444,1
445,8
446,5
447,12
448,1
449,10
450,10
451,10
452,11
453,3
454,3
455,8
456,8
457,8
458,3
459,8
460,5
461,6
462,0
463,6
464,11
465,8
466,3
467,13
468,11
469,3
470,5
471,5
472,10
473,10
474,11
475,11
476,5
477,6
478,2
479,3
480,10
481,3
482,6
483,13
484,11
485,3
486,0
487,6
488,11
489,1
490,10
491,10
492,3
493,10
494,13
495,3
496,12
497,13
498,8
499,11
500,6
501,3
502,11
503,12
504,1
505,5
506,13
507,8
508,6
509,6
510,6
511,0
512,0
513,10
514,11
515,3
516,8
517,5
518,3
519,10
520,11
521,1
522,4
523,9
524,5
525,1
526,11
527,6
528,3
529,6
530,8
531,5
532,1
533,6
534,5
535,10
536,1
537,6
538,6
539,5
540,13
541,10
542,8
543,5
544,10
545,0
546,13
547,5
548,3
549,12
550,11
551,9
552,1
553,3
554,6
555,10
556,1
557,11
558,13
559,5
560,9
561,11
562,1
563,12
564,11
565,1
566,3
567,5
568,3
569,13
570,3
571,12
572,10
573,8
574,12
575,11
576,8
577,4
578,0
579,8
580,8
581,8
582,13
583,4
584,3
585,5
586,4
587,0
588,5
589,6
590,8
591,1
592,10
593,10
594,6
595,13
596,5
597,13
598,6
599,4
600,12
601,1
602,1
603,2
604,6
605,11
606,10
607,12
608,10
609,3
610,8
611,5
612,11
613,5
614,11
615,3
616,11
617,10
618,11
619,3
620,1
621,11
622,8
623,5
624,1
625,11
626,6
627,5
628,12
